Input provided to the model,Whether the prediction is correct (true/false),Expected if condition,Predicted if condition,Prediction score (0-100)
"def _split_node(node, threshold, branching_factor):
    """"""The node has to be split if there is no place for a new subcluster
    in the node.
    1. Two empty nodes and two empty subclusters are initialized.
    2. The pair of distant subclusters are found.
    3. The properties of the empty subclusters and nodes are updated
       according to the nearest distance between the subclusters to the
       pair of distant subclusters.
    4. The two nodes are set as children to the two subclusters.
    """"""
    new_subcluster1 = _CFSubcluster()
    new_subcluster2 = _CFSubcluster()
    new_node1 = _CFNode(threshold=threshold, branching_factor=branching_factor, is_leaf=node.is_leaf, n_features=node.n_features, dtype=node.init_centroids_.dtype)
    new_node2 = _CFNode(threshold=threshold, branching_factor=branching_factor, is_leaf=node.is_leaf, n_features=node.n_features, dtype=node.init_centroids_.dtype)
    new_subcluster1.child_ = new_node1
    new_subcluster2.child_ = new_node2
    if node.is_leaf:
        if node.prev_leaf_ is not None:
            node.prev_leaf_.next_leaf_ = new_node1
        new_node1.prev_leaf_ = node.prev_leaf_
        new_node1.next_leaf_ = new_node2
        new_node2.prev_leaf_ = new_node1
        new_node2.next_leaf_ = node.next_leaf_
        if <MASK>:
            node.next_leaf_.prev_leaf_ = new_node2
    dist = euclidean_distances(node.centroids_, Y_norm_squared=node.squared_norm_, squared=True)
    n_clusters = dist.shape[0]
    farthest_idx = np.unravel_index(dist.argmax(), (n_clusters, n_clusters))
    (node1_dist, node2_dist) = dist[farthest_idx,]
    node1_closer = node1_dist < node2_dist
    node1_closer[farthest_idx[0]] = True
    for (idx, subcluster) in enumerate(node.subclusters_):
        if node1_closer[idx]:
            new_node1.append_subcluster(subcluster)
            new_subcluster1.update(subcluster)
        else:
            new_node2.append_subcluster(subcluster)
            new_subcluster2.update(subcluster)
    return (new_subcluster1, new_subcluster2)",False,node.next_leaf_ is not None,node . op == ' call_function ',52.41
"def _run_symbolic_function(graph: _C.Graph, block: _C.Block, node: _C.Node, inputs: Any, env: dict[_C.Value, _C.Value], values_in_env: set[_C.Value], new_nodes: list[_C.Node], operator_export_type=_C_onnx.OperatorExportTypes.ONNX) -> _C.Value | Sequence[_C.Value | None] | None:
    """"""Runs a symbolic function.

    The function is used in C++ to export the node to ONNX.

    Returns:
        A single or a tuple of Values.
        None when the node gets cloned as is into the new graph.
    """"""
    opset_version = GLOBALS.export_onnx_opset_version
    node_kind = node.kind()
    if node_kind.endswith('_'):
        ns_op_name = node_kind[:-1]
    else:
        ns_op_name = node_kind
    (namespace, op_name) = jit_utils.parse_node_kind(ns_op_name)
    graph_context = jit_utils.GraphContext(graph=graph, block=block, opset=opset_version, original_node=node, params_dict=_params_dict, env=env, values_in_env=values_in_env, new_nodes=new_nodes)
    if _should_aten_fallback(ns_op_name, opset_version, operator_export_type):
        attrs = {k + '_' + node.kindOf(k)[0]: symbolic_helper._node_get(node, k) for k in node.attributeNames()}
        outputs = node.outputsSize()
        attrs['outputs'] = outputs
        return graph_context.aten_op(op_name, *inputs, overload_name=_get_aten_op_overload_name(node), **attrs)
    try:
        domain = namespace
        symbolic_function_name = f'{domain}::{op_name}'
        symbolic_function_group = registration.registry.get_function_group(symbolic_function_name)
        if symbolic_function_group is not None:
            symbolic_fn = symbolic_function_group.get(opset_version)
            if symbolic_fn is not None:
                attrs = {k: symbolic_helper._node_get(node, k) for k in node.attributeNames()}
                return symbolic_fn(graph_context, *inputs, **attrs)
        attrs = {k + '_' + node.kindOf(k)[0]: symbolic_helper._node_get(node, k) for k in node.attributeNames()}
        if namespace == 'onnx':
            return graph_context.op(op_name, *inputs, **attrs, outputs=node.outputsSize())
        raise errors.UnsupportedOperatorError(symbolic_function_name, opset_version, symbolic_function_group.get_min_supported() if symbolic_function_group else None)
    except RuntimeError:
        if <MASK>:
            return None
        elif operator_export_type == _C_onnx.OperatorExportTypes.ONNX_ATEN_FALLBACK:
            attrs = {k + '_' + node.kindOf(k)[0]: symbolic_helper._node_get(node, k) for k in node.attributeNames()}
            return graph_context.aten_op(op_name, *inputs, overload_name=_get_aten_op_overload_name(node), **attrs)
        raise
    except TypeError as e:
        e.args = (f'{e.args[0]} \n(Occurred when translating {op_name}).',)
        raise",False,operator_export_type == _C_onnx.OperatorExportTypes.ONNX_FALLTHROUGH,node . op == ' call_function ',49.7
"def _get_openmp_args(cpp_compiler: str) -> tuple[list[str], list[str], list[str], list[str], list[str], list[str]]:
    cflags: list[str] = []
    ldflags: list[str] = []
    include_dir_paths: list[str] = []
    lib_dir_paths: list[str] = []
    libs: list[str] = []
    passthrough_args: list[str] = []
    if config.aot_inductor.cross_target_platform == 'windows':
        return (cflags, ldflags, include_dir_paths, lib_dir_paths, libs, passthrough_args)
    if _IS_MACOS:
        cflags.append('Xclang')
        cflags.append('fopenmp')
        omp_available = not _is_apple_clang(cpp_compiler)
        omp_prefix = os.getenv('OMP_PREFIX')
        if omp_prefix is not None:
            header_path = os.path.join(omp_prefix, 'include', 'omp.h')
            valid_env = os.path.exists(header_path)
            if valid_env:
                include_dir_paths.append(os.path.join(omp_prefix, 'include'))
                lib_dir_paths.append(os.path.join(omp_prefix, 'lib'))
            else:
                warnings.warn('environment variable `OMP_PREFIX` is invalid.')
            omp_available = omp_available or valid_env
        if not omp_available:
            libs.append('omp')
        conda_prefix = os.getenv('CONDA_PREFIX')
        if not omp_available and conda_prefix is not None:
            omp_available = is_conda_llvm_openmp_installed()
            if omp_available:
                conda_lib_path = os.path.join(conda_prefix, 'lib')
                include_dir_paths.append(os.path.join(conda_prefix, 'include'))
                lib_dir_paths.append(conda_lib_path)
                if os.uname().machine == 'x86_64' and os.path.exists(os.path.join(conda_lib_path, 'libiomp5.dylib')):
                    libs.append('iomp5')
        if not omp_available:
            (omp_available, libomp_path) = homebrew_libomp()
            if omp_available:
                include_dir_paths.append(os.path.join(libomp_path, 'include'))
                lib_dir_paths.append(os.path.join(libomp_path, 'lib'))
    elif _IS_WINDOWS:
        ""\n        On Windows, `clang` and `icx` have their specific openmp implenmention.\n        And the openmp lib is in compiler's some sub-directory.\n        For dynamic library(DLL) load, the Windows native APIs are `LoadLibraryA` and `LoadLibraryExA`, and their search\n        dependencies have some rules:\n        https://learn.microsoft.com/en-us/windows/win32/api/libloaderapi/nf-libloaderapi-loadlibraryexa#searching-for-dlls-and-dependencies\n        In some case, the rules may not include compiler's sub-directories.\n        So, it can't search and load compiler's openmp library correctly.\n        And then, the whole application would be broken.\n\n        To avoid the openmp load failed, we can automatic locate the openmp binary and preload it.\n        1. For clang, the function is `perload_clang_libomp_win`.\n        2. For icx, the function is `perload_icx_libomp_win`.\n        ""
        if <MASK>:
            cflags.append('openmp')
            libs.append('libomp')
            perload_clang_libomp_win(cpp_compiler, 'libomp.dll')
        elif _is_intel_compiler(cpp_compiler):
            cflags.append('Qiopenmp')
            libs.append('libiomp5md')
            perload_icx_libomp_win(cpp_compiler)
        else:
            cflags.append('openmp')
            cflags.append('openmp:experimental')
    elif config.is_fbcode():
        include_dir_paths.append(build_paths.openmp_include)
        openmp_lib = build_paths.openmp_lib_so
        fb_openmp_extra_flags = f'-Wp,-fopenmp {openmp_lib}'
        passthrough_args.append(fb_openmp_extra_flags)
        libs.append('omp')
    elif _is_clang(cpp_compiler):
        cflags.append('fopenmp')
        libs.append('gomp')
    elif _is_intel_compiler(cpp_compiler):
        cflags.append('fiopenmp')
    else:
        cflags.append('fopenmp')
        libs.append('gomp')
    return (cflags, ldflags, include_dir_paths, lib_dir_paths, libs, passthrough_args)",False,_is_clang(cpp_compiler),os . path . exists ( path ),72.41
"def compile_fn(self, gm: fx.GraphModule, example_inputs: list[torch.Tensor]) -> CompiledFn:
    """"""
        Implements graph splitting, first determining a set of of buckets by counting
        parameter sizes in reverse graph order, then invoking the user/backend compiler
        to compile each subgraph. Finally, stiches compiled graphs into one graphmodule
        and returns its callable.
        """"""
    buckets = [Bucket()]
    processed_modules: set[torch.nn.Module] = set()
    for node in reversed(gm.graph.nodes):
        if node.op in ('output', 'placeholder'):
            continue
        if buckets[0].size >= self.bucket_bytes_cap or (len(buckets) == 1 and buckets[0].size >= self.first_bucket_cap):
            if bucket_has_external_output(buckets[0]):
                buckets.insert(0, Bucket())
            else:
                if buckets[0].opcount_increased_to_capture_external_output == 0:
                    buckets[0].paramsize_before_opcount_increase = buckets[0].size
                buckets[0].opcount_increased_to_capture_external_output += 1
        if node.op == 'call_function':
            self.add_param_args(buckets[0], node)
        elif node.op == 'call_module':
            target_mod = gm.get_submodule(node.target)
            if <MASK>:
                self.add_module_params_to_bucket(target_mod, buckets[0], processed_modules, node.target)
        elif node.op == 'call_method':
            if isinstance(node.args[0].target, str):
                target_mod = None
                try:
                    target_mod = gm.get_submodule(node.args[0].target)
                except AttributeError:
                    pass
                if target_mod is not None and target_mod not in processed_modules:
                    self.add_module_params_to_bucket(target_mod, buckets[0], processed_modules, node.target)
                self.add_param_args(buckets[0], node)
        elif node.op == 'get_attr':
            maybe_param = getattr(gm, node.target)
            if isinstance(maybe_param, torch.nn.Parameter) and maybe_param.requires_grad and (not self._ignore_parameter(maybe_param)):
                self.add_param(buckets[0], maybe_param, node.target)
        buckets[0].nodes.append(node)
    if len(buckets) > 1 and buckets[0].size == 0:
        buckets[1].nodes.extend(buckets[0].nodes)
        assert len(buckets[0].params) == 0, 'Params should be empty if size is 0'
        del buckets[0]
    self.buckets = buckets
    pretty_print_buckets(buckets, self.bucket_bytes_cap)
    if len(buckets) == 1:
        return self.backend_compile_fn(gm, example_inputs)
    partition_map = {}
    for (idx, b) in enumerate(buckets):
        for node in b.nodes:
            partition_map[node] = idx
    split_gm = fx.passes.split_module.split_module(gm, None, lambda node: partition_map[node])
    propagate_dynamo_source(gm, split_gm)
    propagate_metadata(gm, split_gm)
    debug_str = f'\n---orig graph---\n{gm.graph}\n' + f'\n---split graph---\n{split_gm.graph}\n'
    for (name, module) in split_gm.named_modules():
        if '.' not in name and len(name):
            debug_str += f'\n---{name} graph---\n{module.graph}\n'
    debug_str += '\n---------------\n'
    ddp_graph_log.debug(debug_str)
    trace_structured('optimize_ddp_split_graph', payload_fn=lambda : split_gm.print_readable(print_output=False))
    for (name, module) in split_gm.named_modules():
        if '.' not in name and len(name):
            trace_structured('optimize_ddp_split_child', lambda : {'name': name}, payload_fn=lambda : module.print_readable(print_output=False))
    fake_mode = detect_fake_mode(example_inputs)
    if fake_mode is None:
        fake_mode = torch._subclasses.fake_tensor.FakeTensorMode()
    submod_compiler = SubmodCompiler(split_gm, self.backend_compile_fn, fake_mode)
    with torch._dynamo.utils._disable_saved_tensors_hooks_during_tracing():
        submod_compiler.run(*example_inputs)
    split_gm.recompile()
    ddp_graph_log.debug('\n---final graph---\n%s\n---------------\n', split_gm.graph)
    return split_gm",False,target_mod not in processed_modules,node . op == ' call_function ',56.65
"def _testCond(self, true_fn, false_fn, train_vals, feed_dict=None):
    if <MASK>:
        feed_dict = {}
    with self.session(graph=ops.get_default_graph()) as sess:
        pred = array_ops.placeholder(dtypes.bool, name='pred')
        expected = tf_cond.cond(array_ops.squeeze_v2(pred), true_fn, false_fn, name='expected')
        actual = cond_v2.cond_v2(pred, true_fn, false_fn, name='actual')
        expected_grad = gradients_impl.gradients(expected, train_vals)
        actual_grad = gradients_impl.gradients(actual, train_vals)
        sess_run_args = {pred: True}
        sess_run_args.update(feed_dict)
        (expected_val, actual_val, expected_grad_val, actual_grad_val) = sess.run((expected, actual, expected_grad, actual_grad), sess_run_args)
        self.assertEqual(expected_val, actual_val)
        self.assertEqual(expected_grad_val, actual_grad_val)
        sess_run_args = {pred: [[True]]}
        sess_run_args.update(feed_dict)
        (expected_val, actual_val, expected_grad_val, actual_grad_val) = sess.run((expected, actual, expected_grad, actual_grad), sess_run_args)
        self.assertEqual(expected_val, actual_val)
        self.assertEqual(expected_grad_val, actual_grad_val)
        sess_run_args = {pred: False}
        sess_run_args.update(feed_dict)
        (expected_val, actual_val, expected_grad_val, actual_grad_val) = sess.run((expected, actual, expected_grad, actual_grad), sess_run_args)
        self.assertEqual(expected_val, actual_val)
        self.assertEqual(expected_grad_val, actual_grad_val)
        sess_run_args = {pred: [[False]]}
        sess_run_args.update(feed_dict)
        (expected_val, actual_val, expected_grad_val, actual_grad_val) = sess.run((expected, actual, expected_grad, actual_grad), sess_run_args)
        self.assertEqual(expected_val, actual_val)
        self.assertEqual(expected_grad_val, actual_grad_val)",False,not feed_dict,not context . executing_eagerly (),70.42
"@array_function_dispatch(_split_dispatcher)
def split(ary, indices_or_sections, axis=0):
    """"""
    Split an array into multiple sub-arrays as views into `ary`.

    Parameters
    ----------
    ary : ndarray
        Array to be divided into sub-arrays.
    indices_or_sections : int or 1-D array
        If `indices_or_sections` is an integer, N, the array will be divided
        into N equal arrays along `axis`.  If such a split is not possible,
        an error is raised.

        If `indices_or_sections` is a 1-D array of sorted integers, the entries
        indicate where along `axis` the array is split.  For example,
        ``[2, 3]`` would, for ``axis=0``, result in

        - ary[:2]
        - ary[2:3]
        - ary[3:]

        If an index exceeds the dimension of the array along `axis`,
        an empty sub-array is returned correspondingly.
    axis : int, optional
        The axis along which to split, default is 0.

    Returns
    -------
    sub-arrays : list of ndarrays
        A list of sub-arrays as views into `ary`.

    Raises
    ------
    ValueError
        If `indices_or_sections` is given as an integer, but
        a split does not result in equal division.

    See Also
    --------
    array_split : Split an array into multiple sub-arrays of equal or
                  near-equal size.  Does not raise an exception if
                  an equal division cannot be made.
    hsplit : Split array into multiple sub-arrays horizontally (column-wise).
    vsplit : Split array into multiple sub-arrays vertically (row wise).
    dsplit : Split array into multiple sub-arrays along the 3rd axis (depth).
    concatenate : Join a sequence of arrays along an existing axis.
    stack : Join a sequence of arrays along a new axis.
    hstack : Stack arrays in sequence horizontally (column wise).
    vstack : Stack arrays in sequence vertically (row wise).
    dstack : Stack arrays in sequence depth wise (along third dimension).

    Examples
    --------
    >>> import numpy as np
    >>> x = np.arange(9.0)
    >>> np.split(x, 3)
    [array([0.,  1.,  2.]), array([3.,  4.,  5.]), array([6.,  7.,  8.])]

    >>> x = np.arange(8.0)
    >>> np.split(x, [3, 5, 6, 10])
    [array([0.,  1.,  2.]),
     array([3.,  4.]),
     array([5.]),
     array([6.,  7.]),
     array([], dtype=float64)]

    """"""
    try:
        len(indices_or_sections)
    except TypeError:
        sections = indices_or_sections
        N = ary.shape[axis]
        if <MASK>:
            raise ValueError('array split does not result in an equal division') from None
    return array_split(ary, indices_or_sections, axis)",False,N % sections,"isinstance ( axis , np . ndarray )",54.82
"def run_node(self, node: torch.fx.Node) -> Any:
    if node.target == 'output':

        def set_env(arg: torch.fx.Node) -> None:
            self.env[arg] = self.unknown_value
        pytree.tree_map_only_(torch.fx.Node, set_env, node.args)
        return super().run_node(node)
    (args, kwargs) = self.fetch_args_kwargs_from_env(node)
    flattened_inputs = pytree.arg_tree_leaves(*args, **kwargs)
    if any((type(self.unknown_value) is type(input_) and self.unknown_value == input_ for input_ in flattened_inputs)):
        return self.unknown_value
    if node.op == 'call_function' and node.target == aten._efficientzerotensor.default:
        return self.unknown_value
    if node.op == 'call_function' and node.name == 'triton_kernel_wrapper_functional_proxy':
        return self.unknown_value
    if <MASK>:
        return self.unknown_value
    if isinstance(node.target, torch._ops.OpOverload) and torch.Tag.nondeterministic_seeded in node.target.tags:
        return self.unknown_value
    if node.op == 'call_function' and isinstance(node.target, torch._ops.HigherOrderOperator):
        return self.unknown_value
    out = self._deduce_value(node)
    if isinstance(out, torch._C.ScriptObject):
        return out
    if out == self.unknown_value:
        return self.unknown_value
    if not is_const_source(node, self.lifted_constant_names) and (isinstance(out, torch.Tensor) or out == self.deferred_value):
        if out != self.deferred_value and out.device.type == 'meta':
            return out
        if not self.insertable_tensor_check(out):
            return out
        if self.is_impure(node):
            return self.unknown_value
        self.add_node_replacement(node, out)
        flattened_node_inps = pytree.arg_tree_leaves(*node.args, **node.kwargs)
        for n in flattened_node_inps:
            if not isinstance(n, torch.fx.Node):
                continue
            self.replaced_uses[n] += 1
        for to_delete in self.user_to_last_uses.get(node, []):
            if self.replaced_uses[to_delete] == len(to_delete.users):
                self.node_replacements.pop(to_delete, None)
    return out",False,"self.skip_constructors and (not is_const_source(node, self.lifted_constant_names)) and (not any((isinstance(e, torch.Tensor) for e in flattened_inputs)))",node . op == ' call_function ',62.53
"def should_swap(idx_a, idx_b):

    def ge(a, b):
        """"""
            Returns true if a is symbolically greater than or equal to b, assuming a >= 0, b >= 0.
            """"""
        if guard_or_false(b == 0):
            return True
        elif guard_or_false(a == 0):
            return False
        return guard_or_false(a >= b) or guard_or_false(a % b == 0)
    for tensor in tensors:
        stride_a = tensor.stride()[idx_a]
        stride_b = tensor.stride()[idx_b]
        if <MASK>:
            continue
        if guard_or_false(stride_a == stride_b):
            if ge(shape[idx_b], shape[idx_a]):
                continue
            return 1
        if ge(stride_b, stride_a):
            return -1
        if ge(stride_a, stride_b):
            return 1
    return 0",False,guard_or_false(stride_a == 0) or guard_or_false(stride_b == 0),stride is None,46.57
"def sanitize_array(data, index: Index | None, dtype: DtypeObj | None=None, copy: bool=False, *, allow_2d: bool=False) -> ArrayLike:
    """"""
    Sanitize input data to an ndarray or ExtensionArray, copy if specified,
    coerce to the dtype if specified.

    Parameters
    ----------
    data : Any
    index : Index or None, default None
    dtype : np.dtype, ExtensionDtype, or None, default None
    copy : bool, default False
    allow_2d : bool, default False
        If False, raise if we have a 2D Arraylike.

    Returns
    -------
    np.ndarray or ExtensionArray
    """"""
    original_dtype = dtype
    if isinstance(data, ma.MaskedArray):
        data = sanitize_masked_array(data)
    if isinstance(dtype, NumpyEADtype):
        dtype = dtype.numpy_dtype
    infer_object = not isinstance(data, (ABCIndex, ABCSeries))
    data = extract_array(data, extract_numpy=True, extract_range=True)
    if isinstance(data, np.ndarray) and data.ndim == 0:
        if dtype is None:
            dtype = data.dtype
        data = lib.item_from_zerodim(data)
    elif isinstance(data, range):
        data = range_to_ndarray(data)
        copy = False
    if not is_list_like(data):
        if index is None:
            raise ValueError('index must be specified when data is not list-like')
        if isinstance(data, str) and using_string_dtype() and (original_dtype is None):
            from pandas.core.arrays.string_ import StringDtype
            dtype = StringDtype(na_value=np.nan)
        data = construct_1d_arraylike_from_scalar(data, len(index), dtype)
        return data
    elif isinstance(data, ABCExtensionArray):
        if dtype is not None:
            subarr = data.astype(dtype, copy=copy)
        elif copy:
            subarr = data.copy()
        else:
            subarr = data
    elif isinstance(dtype, ExtensionDtype):
        _sanitize_non_ordered(data)
        cls = dtype.construct_array_type()
        if not hasattr(data, '__array__'):
            data = list(data)
        subarr = cls._from_sequence(data, dtype=dtype, copy=copy)
    elif isinstance(data, np.ndarray):
        if isinstance(data, np.matrix):
            data = data.A
        if dtype is None:
            subarr = data
            if data.dtype == object and infer_object:
                subarr = lib.maybe_convert_objects(data, convert_numeric=False, convert_non_numeric=True, convert_to_nullable_dtype=False, dtype_if_all_nat=np.dtype('M8[s]'))
            elif data.dtype.kind == 'U' and using_string_dtype():
                from pandas.core.arrays.string_ import StringDtype
                dtype = StringDtype(na_value=np.nan)
                subarr = dtype.construct_array_type()._from_sequence(data, dtype=dtype)
            if (subarr is data or (subarr.dtype == 'str' and subarr.dtype.storage == 'python')) and copy:
                subarr = subarr.copy()
        else:
            subarr = _try_cast(data, dtype, copy)
    elif hasattr(data, '__array__'):
        if not copy:
            data = np.asarray(data)
        else:
            data = np.array(data, copy=copy)
        return sanitize_array(data, index=index, dtype=dtype, copy=False, allow_2d=allow_2d)
    else:
        _sanitize_non_ordered(data)
        data = list(data)
        if <MASK>:
            subarr = np.array([], dtype=np.float64)
        elif dtype is not None:
            subarr = _try_cast(data, dtype, copy)
        else:
            subarr = maybe_convert_platform(data)
            if subarr.dtype == object:
                subarr = cast(np.ndarray, subarr)
                subarr = lib.maybe_convert_objects(subarr, convert_numeric=False, convert_non_numeric=True, convert_to_nullable_dtype=False, dtype_if_all_nat=np.dtype('M8[s]'))
    subarr = _sanitize_ndim(subarr, data, dtype, index, allow_2d=allow_2d)
    if isinstance(subarr, np.ndarray):
        dtype = cast(np.dtype, dtype)
        subarr = _sanitize_str_dtypes(subarr, data, dtype, copy)
    return subarr",False,len(data) == 0 and dtype is None,"isinstance ( data , np . ndarray )",69.01
"def _format_attrs(self):
    """"""
        Return a list of tuples of the (attr, formatted_value)
        """"""
    attrs = cast('list[tuple[str, str | int]]', self._get_data_as_items())
    if <MASK>:
        attrs.append(('name', ibase.default_pprint(self._name)))
    return attrs",False,self._name is not None,"isinstance ( value , str )",54.46
"def _logical_method(self, other, op) -> Self:
    if <MASK>:
        return self._evaluate_op_method(other, op, ARROW_BIT_WISE_FUNCS)
    elif (pa.types.is_string(self._pa_array.type) or pa.types.is_large_string(self._pa_array.type)) and op in (roperator.ror_, roperator.rand_, roperator.rxor) and isinstance(other, np.ndarray) and (other.dtype == bool):
        op_name = op.__name__[1:].strip('_')
        warnings.warn(f""'{op_name}' operations between boolean dtype and {self.dtype} are deprecated and will raise in a future version. Explicitly cast the strings to a boolean dtype before operating instead."", Pandas4Warning, stacklevel=find_stack_level())
        return op(other, self.astype(bool))
    else:
        return self._evaluate_op_method(other, op, ARROW_LOGICAL_FUNCS)",False,pa.types.is_integer(self._pa_array.type),"isinstance ( other , np . ndarray )",57.0
"def to_sql(self, frame, name: str, if_exists: Literal['fail', 'replace', 'append', 'delete_rows']='fail', index: bool=True, index_label=None, schema: str | None=None, chunksize: int | None=None, dtype: DtypeArg | None=None, method: Literal['multi'] | Callable | None=None, engine: str='auto', **engine_kwargs) -> int | None:
    """"""
        Write records stored in a DataFrame to a SQL database.

        Parameters
        ----------
        frame : DataFrame
        name : string
            Name of SQL table.
        if_exists : {'fail', 'replace', 'append'}, default 'fail'
            - fail: If table exists, do nothing.
            - replace: If table exists, drop it, recreate it, and insert data.
            - append: If table exists, insert data. Create if does not exist.
            - delete_rows: If a table exists, delete all records and insert data.
        index : boolean, default True
            Write DataFrame index as a column.
        index_label : string or sequence, default None
            Raises NotImplementedError
        schema : string, default None
            Name of SQL schema in database to write to (if database flavor
            supports this). If specified, this overwrites the default
            schema of the SQLDatabase object.
        chunksize : int, default None
            Raises NotImplementedError
        dtype : single type or dict of column name to SQL type, default None
            Raises NotImplementedError
        method : {None', 'multi', callable}, default None
            Raises NotImplementedError
        engine : {'auto', 'sqlalchemy'}, default 'auto'
            Raises NotImplementedError if not set to 'auto'
        """"""
    pa = import_optional_dependency('pyarrow')
    from adbc_driver_manager import Error
    if index_label:
        raise NotImplementedError(""'index_label' is not implemented for ADBC drivers"")
    if chunksize:
        raise NotImplementedError(""'chunksize' is not implemented for ADBC drivers"")
    if dtype:
        raise NotImplementedError(""'dtype' is not implemented for ADBC drivers"")
    if method:
        raise NotImplementedError(""'method' is not implemented for ADBC drivers"")
    if engine != 'auto':
        raise NotImplementedError(""engine != 'auto' not implemented for ADBC drivers"")
    if schema:
        table_name = f'{schema}.{name}'
    else:
        table_name = name
    mode = 'create'
    if self.has_table(name, schema):
        if <MASK>:
            raise ValueError(f""Table '{table_name}' already exists."")
        elif if_exists == 'replace':
            sql_statement = f'DROP TABLE {table_name}'
            self.execute(sql_statement).close()
        elif if_exists == 'append':
            mode = 'append'
        elif if_exists == 'delete_rows':
            mode = 'append'
            self.delete_rows(name, schema)
    try:
        tbl = pa.Table.from_pandas(frame, preserve_index=index)
    except pa.ArrowNotImplementedError as exc:
        raise ValueError('datatypes not supported') from exc
    with self.con.cursor() as cur:
        try:
            total_inserted = cur.adbc_ingest(table_name=name, data=tbl, mode=mode, db_schema_name=schema)
        except Error as exc:
            raise DatabaseError(f'Failed to insert records on table={name} with mode={mode!r}') from exc
    self.con.commit()
    return total_inserted",False,if_exists == 'fail',"isinstance ( self . dtype , str )",46.01
